comment,author,num_likes,rate
돈이 없어서 술은 외상하고 치킨은 사간대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,탑버블,1297,3.5919265747070312
시걸은 심지어 지는 장면도 안 나옴. 아무래도 자기가 무명배우에게 얻어맞고 지는 장면까지 나오면 배우이미지에 손상이 가니 그런장면을 빼라고 했을듯,MP28,5,2.8002357482910156
매일 아침 일어나서 기지개 한번 쫙펴고 클레멘타인 평점 댓글보면서 하루를 시작합니다..,최창훈,14,2.233422040939331
영화 제작진이랑 감독이랑 배우들이 찍다가 현타 왔을듯 ㅋㅋㅋ,john wick,258,2.3076651096343994
클레멘타인은 단세글자로 요약된다 “갑자기?”,안제원,3,1.74838125705719
음? 암세포가 그영화보고 감명받아서 더이상에 세포분열을 갈망하는 마음이 사라져서 세포분열을 그만두고 암이 사라진다는 그영화!,ᄏᄏᄏᄏᄏᄏ,4,1.1262413263320923
갔다올겤ㅋㅋㅋㅋㅋ몇번이나 나오는곀ㅋㅋㅋㅋㅋ개웃기네,hungry still,4,7.537090301513672
사랑이 중간부터 앞니 사라짐ㅋㅋㅋ,부멍이,8,6.2353901863098145
ㅋㅋㅋㅋ 진짜 도중 도중 들어가는 웃기는 킬링 포인트 너무 재미있게 보고 있어요. ㅋㅋㅋㅋ,유지서,6,7.44432258605957
이 영화를 보고 키가 20cm 자랐습니다.,dodo kim,3,6.222872734069824
여러 영화들을 거르며 대작이라는 평가만 받는 영화만 골라보던 제가 이 영화를 보고 대작과망작의 차이없이 모든 영화들을 사랑하게 되었습니다.,NEO TATA,74,7.683625221252441
암세포가 암걸려서 디졌뎈ㅋㅋㅋㅋㅋㅋㅋ,s a,3,1.4877073764801025
시대를 앞서다 못해 차원을 돌파해버린 전설의 명작,서도영,10,8.345772743225098
훌륭하십니다,NATAE 나태,676,8.486268997192383
이 명작을 전국 극장 재개봉 국민청원을 원합니다...,타면수,150,9.876470565795898
영화는 몰라도 이 리뷰는 겁나웃기네ㅋㅋㅋ갔다올게ㅋㅋㅋㅋ,TV꼬질,4,8.1383695602417
성냥팔이는 하셨더군요. 이제 &#39;리얼&#39; 부탁드려요.,KIM Jin,1270,2.373258590698242
영화자체는 암덩인데 영화리뷰는 개잼있네ㅋㅋㅋ 가따올께  개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,미드나인,500,3.1222498416900635
클레멘타인 네이버평점 9.34 다음평점 9.1  전설의 작품 ㄷㄷ,kdjsky320,6,1.078513503074646
미친척하고 저거 풀타임 조져보고 오겠습니다. 만약 이 뒤로 제가 이 글에 답을 다시 달지 않는다면 보다가 뒤진줄 알고 이글을 제 지인들에게 전해주세요,imo ji,3,4.751949787139893
아 잘참았는데 셀프 패드립에서 뿜었닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Cora Son,3,8.3914155960083
이 영화를 보기전의 나:  보고난 후의 나:s....t......a...y.....!!!!!!!!,전세준,40,5.535441875457764
아닠ㅋㅋㅋㅋㅋ왜 브금을 인터스텔라 ost를 깔아논거야 ㅋㅋㅋㅋ존나 잘 어울리넼ㅋㅋ시공간을 초월하는느낌이 확드네,Taeho Kim,134,7.880244731903076
ㄹㅇ 뭔내용인지 하나도이해가안돼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,가브리엘징징스,59,2.4000847339630127
"제발 망작말고 포레스트 검프,코러스,라이언 일병 구하기,퍼시픽림 같은 명작좀봐! (+포레스트 검프는 추천)",Sjsjs Sjsjsjs,4,5.806426525115967
아니 망작영화 리뷰에 인터스텔라 ost까니깐 진짜 ㅈㄴ심오해지네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,치금시,54,2.4083940982818604
개연성 수준이 딱 신의한수 귀수편 급이네. 형 광고는 광고라고 좀 띄워주자 신의한수 1편 괜찮게 본것도있고 형이 리뷰한거 보고 영화관갔다가 좃같아 뒤질뻔했어,이동섭,3,3.5470378398895264
그러면 이 형도 상위 1% 중 하나잖아 거의 부처네 ㅋㅋㅋㅋ 형 오래살겠다,우리형 슈퍼손,11,8.200429916381836
다세포 소녀 리뷰에서 뭐라고 했더라? DVD 소장각이라고 그랬던가 같은데ㅋㅋ,GOO M,3,2.2448625564575195
카카로트때문에 웃겨 죽을거 같애욬ㅋㅋㅋㅋㅋㅋㅋㅋ,김현,4,7.4964141845703125
믿음과 소망과 사랑중 그중 제일은 사랑이라ㅋㅋㅋㅋㄱㅅㅁㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,지니,276,8.745635986328125
오매 영상시작부터 내댓 나와가지고 놀랐네 ㅋㅋ    그런의미로 다음망작으로 가죠,자몽하다,6,2.313647985458374
마지막 사랑이 ㅈㄴ 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,J InS,8,8.43191146850586
아침에 벨소리를 아빠 일어나로 하면 몇시간을 자든 눈물을 흘리며 벌떡 일어날수있음,아이돌백과사전,5,7.622643947601318
2004년이면 반지의 제왕이랑 비슷한 연도잖어...,고양이키우고싶당,24,6.412725448608398
실제 이 영화를 친구와 돈주고 본 사람입니다. 친구들한테 미안해서 밥사줬습니다,수능이7월인줄알고있는현우진,1019,1.2668439149856567
이걸 개봉 직후 형 권유로 같이 봤었는데 다른건 기억안나고 형하고 죽도록 싸웠던 것만 기억난다,슬립루팡의 약빤지식TV,17,4.521841526031494
믿음과 소망과 사랑중에 제일은 여윽시 망작 리뷰인듯,sof wlr,7,1.5664334297180176
영화도 아니고 영화 리뷰인데도 이렇게 보기 힘든 건 처음,Rot Car,11,3.5902106761932373
모니터도 울고 외장하드도 울고 숨어있던 바이러스도 울었다는 영화...,박민재,13,8.20425796508789
"궥튜미... 픨 빠뽜,  너어... 픨 뽜 둽 뽜있트!!!",sshade,3,4.111733913421631
킬링포인트는 말이죠. 처음에는 서남 사투리하다가 연기가 안되니까  그냥 서울말쓰는 저 동준이형,우마군신,45,3.0488040447235107
믿음소망사랑 그중에 제일은 망사라,조상영,82,9.010442733764648
뭐야 이정도면 이해가 안가는 수준은 아니네        웩,애비게일윌리엄스,4,4.038990497589111
