comment,author,num_likes,rate
"진짜 컴퓨터로 리뷰보는데 어머니는 제 뒤로 쓱 지나가시더니 저랑 같이 리뷰를 보셨어요. 중간중간에는 제가 뭘 볼때마다 불평이나 딴걸 틀려고 시도하신 분이 끝까지 보셨어요. 중간중간 웃으시면서 까지요. 끝나고는 어머니가 저 부엉이는 뭐하는 부엉이길래 말을 잘하고냐까지ㅋㅋㅋㅋㅋㅋㅋㅋ휴, 어쨌든 리얼을 볼 생각도 없었지만 뷰엉이 님의 리뷰를 보고선 그럴 생각이 전혀 안들어요. 제 눈과 정신과 시간을 지켜주셔서 감사합니다!",김독자컴퍼니,3,3.4316186904907227
엄청난 돌려까기 스킬을 가지셨군요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,김록시,4,6.639973163604736
이건 옆자리사람이 휴대폰을해도 이해한다,진지혜,156,5.185704231262207
시간가는줄 알고 봤어요,창스기,89,5.593923091888428
더 궁금해.......,Korean Unnie 한국언니,15,4.725314140319824
도대체 김수현은 마스크팩을 왜 쓰고 있는 건가요???,백지윤,26,3.154151439666748
아니다 이 악마야...,ᄉᄇ좀 ᄏᄏ,7,4.526437282562256
암걸리니 암치료가 된다느니 이런단어는 별로 좋지않은거같네요.,조던마이콜,51,3.70831036567688
리얼 베드신 유출 링크!밑에있음        은 너굴맨이 차지했으니 안심하라구!☆,Siwoo Kim,35,4.380983352661133
근데 설리 진짜 예쁘긴예쁘다...,hjkim Utaite,8,7.06555700302124
이영화 보는거 보단 저희집 강아지2시간 보는게  더재밌어요,봄겨울,364,5.767303943634033
"클레멘타인, 보스상륙작전, 성냥팔이와 긴급..19호의 뒤를 잇는 한국 영화계에 길이길이 남을 최고 명작입니다. 모두가 보시길~ 추천!!!!!",모기,5,6.339239120483398
"솔직히 실험적인 영화, 또는 예술 영화 만들려고 했으면 저런 초호화 캐스팅을 할 필요도 없을 뿐더러 마케팅 또한 액션 느와르니 노출이니 할 필요없죠. 결국 관객들을 속인 사기 영화일 뿐입니다. 그런 영화를 이런식으로라도 까는게 틀린것은 아니라고 보네요.",JinHo Yang,109,2.7604715824127197
ㅋㅋㅋㅋㅋㅋ진짜 더 기분나쁘게 까시네 재밌습니다ㅋㅋㅋㅋㅋㅋㅋ,니체,36,5.07767391204834
사실 이 영화를 보면 눈이 아파서 허리가 안아픕니다,김동한,15,6.202434062957764
ㅠㅠ우리 오빠 4년만에 스크린 복귀에 ㅠㅠㅠ100억 ㅜㅜㅜㅜㅜㅜ빡친다 진짜 ㅋㅋㅋㅋㅋㅋㅋ 엉골노출에 진짜 후... 청불이라 보지도 못하고 진짜 아오,JI YOON,3,2.669252395629883
뭐. 보지 않고도 동의 한다. 100%. 근데 비아냥 거리는 말투가 너무 비호감이다. 리얼 보고 치료한 암. 리뷰 동영상 보고 다시 걸리겠다. 비평은 성의있게.,송죽동길냥이,22,7.336817264556885
"제작비 80%가량은 코스닥 상장사인 파라다이스 그룹(영화 배경이 되는 카지노 그룹. 김수현이 모델로 있습니다.)이 투자했고, 알리바바 픽쳐스 투자금은 한 20%정도입니다. 문제는 이 영화가 중국에서 심의적으로 절대 금기시 되고있는 마약을 주요 소재로 다루고 있어서 중국 개봉이 불투명해진...즉, 오로지 국내에서 손익분기점 승부를 봐야 하는데 영화가 망했어요!  감독도 바뀌기 전 감독이나 바뀐 후 감독이나 이 영화가 입봉작!인 쌩 초짜 감독들인데, 뭘 보고 115억원을 투자를 한건지...진짜 김수현 배우 딱 하나 보고 투자를 한거라면 정말이지 어메이징 합니다. 성냥팔이 소녀의 재림 장선우 감독이 110억원 투자 받은것과 비교가 되는데, 그래도 장선우 감독은 당시엔 유명한 감독이었죠.",싼쵸,23,1.541871428489685
ㅋㅋㅋㅋ 반어법 오지네 비꽈서 저격하네 ㅋㅋㅋㅋㅋ,김양원,52,1.8109530210494995
어떤분이 이영화 별의 윤곽도 주기 아깝다고 하던데 ㅋㅅㅋㅅㅋㅅㅋㅅㅋㅋㅋㅋ,ᅳ,2307,0.8113518357276917
최고급 재료들을 한 믹서에 넣고 갈아서 똥을 만들어냈다,대구_갓수,594,2.1945037841796875
김수현 자지는 나오나요? 부랄탱탱하던가요?,설이,18,4.4080328941345215
여러분 이상한거 보지말고 옥자를 봅시다.,쩌쩐다!,47,6.6255717277526855
여러분들이제이걸반대로해석하시면됩니다,김김김,16,7.51019811630249
나혼자 안죽겠다는건가 ㅋㅋㅋ,킬링곰,36,5.823999881744385
돈 들여서 이거 보지마시고 그 시간에 멍때리세요. 그게 낫습니다. 이것이 리얼입니다.,신마루,445,0.9117950201034546
암이 암걸려 뒤짐,정현우,8,4.703657150268555
반어법 쩌네요ㅋㅋ,포비드의 '창세기전 멀티버스' The war of genesis,89,1.846865177154541
설리 찌찌는 이쁨,사슴,17,6.2272162437438965
영화 보신 분 설리 후기 좀 남겨주세요~~~ 그게 제일 궁금하네욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,서재화,50,2.5555496215820312
역시 중국돈이 들어가면 망하는 가,축사모,6,3.0057296752929688
감사합니다 1만원을 아껴서 스팀에서 할인하는 게임을 하나 살수 있겠군요,가이아,13,0.9907989501953125
느낌왔다 이거 감독은 꼭두각시고 투자자 입맛 대로 만든 걍 삼류 영화다... 얼마나 젓가트면 감독이 관두고 딴 감독 그것도 입봉하는 영화가 110억짜리인데 말도 안되지 ㅋㅋ 나중에 세월이 흘러서 김수현이 비하인드 스토리 말하는 날이 올거다,빵고추참치,564,7.922347545623779
스스로도 믿기 힘들겠지. 당했다는것을..,김원도,15,6.236720561981201
어설프게 비꼰듯한 느낌,검은색숫소,269,4.847177505493164
돌려까기 리뷰어 리뷰엉이,김민우,175,2.710970163345337
설리찌찌 보러갑니다,장정환,95,5.071463108062744
아니다 이 악마야,윤성진,47,4.526437282562256
뭐하는건지 니 평가하는꼬라지가 더하다 비평을할거면 똑바로하던지 시작부터 끝까지 비꼬기만하네,정윤호,5,8.6212739944458
평이 전부 최악이라서 진짜보고싶음ㅋ 진짜어쩐지...,임관용,435,0.8354669213294983
이딴 영화 돈 보고 봐주면 안됨. 망할 영화는 망해야지,폴인잉,195,1.2636786699295044
아 미치겠닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,221B Bakerstreet,45,5.189037799835205
